STATE_NAME,Percent Removal,facility index,feedstock cost,transportation cost,capital cost,operating cost,production cost,access_,CO2_transp cost,CO2_inject cost,total_D:K,revenue,net cost,uptake,land_use_c,soil,grow_harve,transport,conversion,captured,CO2_tran_1,bio_use,total_bio1,conv_use,CDR million tons CO2,Cost $/tCO2,product_units,scale_factor , Plant type ,index_,facility index,latitude,longitude,Barley_str,Citrus_res,Corn_stove,Cotton_gin,Cotton_res,Noncitrus_,Oats_straw,Rice_hulls,Rice_straw,Sorghum_st,Sugarcane_,Sugarcane1,Tree_nut_r,Wheat_stra,Hardwood_l,Hardwood_1,Hardwood_u,Hardwood_2,Mixedwood_,Mixedwood1,Other_fore,Other_fo_1,PNW_Forest,PNW_Fore_1,PNW_Fore_2,PNW_Fore_3,PNW_Fore_4,PNW_Fore_5,PNW_forest_sum,Primary_mi,Secondary_,Softwood_n,Softwood_1,Softwood_p,Softwood_2,Softwood_sum,Constructi,Municipal_,Other_muni,Paper_and_,Switchgras,total_softwood
Colorado,25,137872,74411933.2,24185935.27,189511909.1,65321126.12,37246070.46,0,0,17988891.78,408665866,281309681.5,127356184.5,0,0,0,89362.3167,12809.01658,0,2569841.683,0,0,-2467670.35,0,2467670.35,51.6099,484707324.6,5, BiCRS 2050 gasification H2 ,39,137872,40.78547853,-102.2455722,0,0,832066.4706,0,0,62,0,0,0,30309,0,0,0,693857.8484,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1650,173,0,0,0,173,9876,0,0,9647.833975,227724.9535,173
Arizona,75,222742,74755191.65,46128786.73,19630939.09,6766408.792,65809508.41,0,22204862.12,1807443.62,237103140.4,188465879.1,48637261.34,0,0,0,12801.43165,19226.87538,286568.912,2545227.07,8456.967585,0,-2218172.884,0,2218172.884,21.9267,229518511.5,5, BiCRS 2050 FP asphalt char CO2 ,271,222742,32.86021262,-113.1845591,50662,0,0,30785,176921,202,0,0,0,0,0,0,9290,119208.212,0,0,0,0,0,0,0,73786,0,0,0,0,0,0,0,900,177475,268,0,0,0,268,927118.3187,0,0,166983.2022,79703.37354,268
California,25,219807,47245213.15,40886657.67,19630939.09,6766408.792,58861981.65,0,4213368.32,1605092.694,179209661.4,170951441.1,8258220.241,0,0,0,1504.389116,18015.50533,258574.25,2300378.319,0,0,-2022284.175,0,2022284.175,4.0836,208795025.4,5, BiCRS 2050 FP asphalt char CO2 ,2,219807,32.76591454,-115.1136533,10,0,0,3647,22751,58687,0,0,0,0,0,0,519,22611.76854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37078,483,0,0,0,483,1040546.778,0,0,438665.5682,6972.781523,483
California,90,219807,53447210.73,42670313.12,19630939.09,6766408.792,65436450.84,0,4686780.046,1785440.017,194423542.6,190740905.2,3682637.433,0,0,0,1139.321745,17624.38692,287718.1915,2565322.604,0,0,-2258840.704,0,2258840.704,1.6303,232999302,5, BiCRS 2050 FP asphalt char CO2 ,539,219807,32.76591454,-115.1136533,10,0,0,3647,22751,58580,0,0,0,0,0,0,519,22770.78505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37078,483,0,0,0,483,1228530.559,0,0,438665.5682,267.1944254,483
California,99,219807,54494127.47,41547455.07,19630939.09,6766408.792,65528661.71,0,4701062.514,1790880.958,194459535.6,190391141.4,4068394.157,0,0,0,2234.184123,16875.16571,287535.4409,2562797.025,0,0,-2256152.234,0,2256152.234,1.8032,232571508.4,5, BiCRS 2050 FP asphalt char CO2 ,861,219807,32.76591454,-115.1136533,10,0,0,3647,22751,58580,0,0,0,0,0,0,519,22770.78505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37078,483,0,0,0,483,1208842.481,0,0,438665.5682,19955.27244,483
Arizona,50,211027,74952078.73,60399512.83,19630939.09,6766408.792,65575833.69,0,23332661.63,1808282.979,252465717.7,178207341,74258376.76,0,0,0,15214.12005,29199.25672,279889.9013,2431535.418,7985.037105,0,-2099247.102,0,2099247.102,35.3738,217121474.3,5, BiCRS 2050 FP asphalt char CO2 ,96,211027,33.63239454,-114.2061386,0,0,0,8534,51279,29918,0,0,0,0,0,0,211122.5799,8991.397173,0,0,0,0,0,0,0,175383,0,0,0,0,0,0,0,570,20894,483,0,0,0,483,197378,0,0,830533.6215,265578.3385,483
California,25,180268,50966746.84,26178449.69,189511909.1,65321126.12,38001386.81,0,0,10531751.17,380511369.8,301757920.1,78753449.69,0,0,0,982.371081,13960.40062,0,2632937.794,0,0,-2617995.022,0,2617995.022,30.0816,494931443.9,5, BiCRS 2050 gasification H2 ,7,180268,35.22065967,-118.9446506,0,0,0,15016,66902,326968.8745,0,0,0,0,0,0,215783,55.84606478,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13442,1041,0,0,0,1041,62520,0,0,1093223.19,17451.19597,1041
Montana,75,64664,127934742.6,42586358.69,189511909.1,65321126.12,37102205.18,0,0,20457231.87,482913573.6,253269868.7,229643704.9,0,0,0,99495.87976,22995.6541,0,2557153.984,0,0,-2434662.45,0,2434662.45,94.3226,470687418.2,5, BiCRS 2050 gasification H2 ,511,64664,46.37674458,-105.4637885,0,0,32332.79535,0,0,0,0,0,0,0,0,0,0,117749.3,136,0,0,0,0,0,0,2044,0,0,0,0,0,0,0,0,82,1448,0,0,0,1448,1721,0,0,1708.438976,1656080.572,1448
Montana,90,64664,131150453.8,53705895.42,189511909.1,65321126.12,37376829.56,0,0,20642925.87,497709139.9,260292593.8,237416546.1,0,0,0,97292.68962,27155.31316,0,2580365.734,0,0,-2455917.731,0,2455917.731,96.6712,474198780.7,5, BiCRS 2050 gasification H2 ,773,64664,46.37674458,-105.4637885,0,0,391883.6463,0,0,0,0,0,0,0,0,0,0,105141.5075,136,0,0,0,0,0,0,2044,0,0,0,0,0,0,0,0,82,1448,0,0,0,1448,1721,0,0,1708.438976,1309137.514,1448
Montana,99,64664,129551782.3,86356936.18,189511909.1,65321126.12,37989858.75,0,0,21057750.44,529789362.9,277728745.4,252060617.5,0,0,0,91823.61099,40197.85764,0,2632218.806,0,0,-2500197.337,0,2500197.337,100.8163,482916856.5,5, BiCRS 2050 gasification H2 ,1069,64664,46.37674458,-105.4637885,0,0,1241233.426,0,0,0,0,0,0,0,0,0,0,120425.9889,0,0,0,0,0,0,0,2044,0,0,0,0,0,0,0,0,55,1448,0,0,0,1448,1587,0,0,1605.44246,444903.2491,1448
