OBJECTID,state,FIPS,county,latitude,longitude,USFS_Acre_A1,Other_Acre_A1,USFS_BDT_A1,Other_BDT_A1,Total_BDT_A1,TotalBDT_A1_Yr,USFS_Acre_A2,Other_Acre_A2,USFS_BDT_A2,Other_BDT_A2,Total_BDT_A2,TotalBDT_A2_Yr,USFS_Acre_A3,Other_Acre_A3,USFS_BDT_A3,Other_BDT_A3,Total_BDT_A3,TotalBDT_A3_Yr,USFS_Acre_A4,Other_Acre_A4,USFS_BDT_A4,Other_BDT_A4,Total_BDT_A4,TotalBDT_A4_Yr,USFS_Acre_A5,Other_Acre_A5,USFS_BDT_A5,Other_BDT_A5,Total_BDT_A5,TotalBDT_A5_Yr,USFS_Acre_A6,Other_Acre_A6,USFS_BDT_A6,Other_BDT_A6,Total_BDT_A6,TotalBDT_A6_Yr,Total_Acreage,Total_BDT
1807,NM,35021,Harding,35.863152,-103.829931,780.6,-999,679.1,-999,679.1,67.9,754.8,-999,656.6,-999,656.6,65.7,2932.6,-999,2551.2,-999,2551.2,255.1,224.2,-999,195,-999,195,19.5,216.8,-999,188.6,-999,188.6,18.9,842.3,-999,732.7,-999,732.7,73.3,5751.29,5003.36
2781,UT,49007,Carbon,39.67005,-110.590357,1217.2,-999,5353.3,-999,5353.3,535.3,1338.9,-999,5888.2,-999,5888.2,588.8,2674.6,-999,11762.9,-999,11762.9,1176.3,1352.5,-999,5948,-999,5948,594.8,1487.6,-999,6542.4,-999,6542.4,654.2,2971.8,-999,13069.9,-999,13069.9,1307,11042.59,48564.69
3143,WY,56045,Weston,43.846213,-104.57002,1944.5,-999,9584.2,-999,9584.2,958.4,2935.4,-999,14468,-999,14468,1446.8,6208.6,-999,30600.6,-999,30600.6,3060.1,113.1,-999,557.3,-999,557.3,55.7,170.7,-999,841.3,-999,841.3,84.1,361,-999,1779.4,-999,1779.4,177.9,11733.32,57830.86
2960,WA,53011,Clark,45.771674,-122.485903,587.3,-999,39970.9,-999,39970.9,3997.1,202.3,-999,13767.8,-999,13767.8,1376.8,258.2,-999,17573.4,-999,17573.4,1757.3,440.6,-999,29985.9,-999,29985.9,2998.6,151.7,-999,10328.5,-999,10328.5,1032.9,193.7,-999,13183.4,-999,13183.4,1318.3,1833.74,124809.92
1796,NM,35001,Bernalillo,35.054002,-106.669065,4834.5,-999,35528.3,-999,35528.3,3552.8,1228.3,-999,9026.6,-999,9026.6,902.7,6844.5,-999,50299.4,-999,50299.4,5029.9,4377.5,-999,32169.6,-999,32169.6,3217,1112.2,-999,8173.3,-999,8173.3,817.3,6197.4,-999,45544.3,-999,45544.3,4554.4,24594.27,180741.43
2787,UT,49019,Grand,38.974326,-109.57345,2776,-999,24509.4,-999,24509.4,2450.9,3579.4,-999,31602.7,-999,31602.7,3160.3,5009.5,-999,44229.6,-999,44229.6,4423,2508.7,-999,22149.5,-999,22149.5,2214.9,3234.7,-999,28559.7,-999,28559.7,2856,4527.2,-999,39970.8,-999,39970.8,3997.1,21635.49,191021.78
296,CO,8101,Pueblo,38.170658,-104.489893,6633.5,-999,58696.7,-999,58696.7,5869.7,422.6,-999,3739.2,-999,3739.2,373.9,10118.8,-999,89536.7,-999,89536.7,8953.7,1920.9,-999,16997.4,-999,16997.4,1699.7,122.4,-999,1082.8,-999,1082.8,108.3,2930.2,-999,25928.1,-999,25928.1,2592.8,22148.44,195980.89
281,CO,8071,Las Animas,37.318831,-104.04411,4007.3,-999,51187.6,-999,51187.6,5118.8,2212.2,-999,28257.9,-999,28257.9,2825.8,3653.1,-999,46663.2,-999,46663.2,4666.3,2646.1,-999,33800.2,-999,33800.2,3380,1460.8,-999,18659.3,-999,18659.3,1865.9,2412.2,-999,30812.7,-999,30812.7,3081.3,16391.81,209380.99
2806,UT,49057,Weber,41.270355,-111.875879,1622.7,-999,13362.4,-999,13362.4,1336.2,653.8,-999,5384,-999,5384,538.4,2867.5,-999,23613.7,-999,23613.7,2361.4,7285.5,-999,59995.3,-999,59995.3,5999.5,2935.4,-999,24173.2,-999,24173.2,2417.3,12874.6,-999,106021.7,-999,106021.7,10602.2,28239.46,232550.2
267,CO,8043,Fremont,38.455658,-105.421438,2849.8,-999,30360.1,-999,30360.1,3036,618.1,-999,6584.6,-999,6584.6,658.5,3931.8,-999,41886.9,-999,41886.9,4188.7,6526.6,-999,69529.8,-999,69529.8,6953,1415.5,-999,15079.8,-999,15079.8,1508,9004.5,-999,95928.1,-999,95928.1,9592.8,24346.27,259369.28
